,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Delaware County, IA",Delaware County ,19055,Non-core,,,IA,7,"  17,011 ",,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  47 ,  -   ,  -   ,+14%,,0.0%,  7 ,  41 ,  -   ,  -   ,"  2,108 ","  12,392 ",  41 ,  241 ,  -   ,  41 ,ModerateBurden,,Substantial,Moderate,9.6%,  83 ,  488 ,  -   ,100%,+5.0%,-45%,  (1.0),0%,4.6%,  150 ,  882 ,  1.0 ,100%,  1 ,  4 ,  -   ,  -   ,50%,2%,0%,0%,0%,0%,,,-9%,+1%,-29%,0%,-1%,0%,  1 ,  25 ,  2 ,  10 ,100%,100%,100%,100%,"  7,280 ",42.8%,"  6,744 ",39.6%,  14 ,1.0%,  90 ,0.7%,  11 ,0.3%,,,,  57 ,3.9%,  22 ,1.5%,"  7,223 ",55.6%,"  6,722 ",51.7%,"  2,857 ",84.9%,"  2,755 ",81.8%,3%,9%,20%,  2.5 ,1%,2%,0%,0%,  0.03 ,  0.15 ,Uncertain
"Dickinson County, MI",Dickinson County ,26043,Micropolitan,"Iron Mountain, MI-WI",Micropolitan,MI,5,"  25,239 ",85.5%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  32 ,  -   ,  -   ,-50%,,0.0%,  16 ,  63 ,  -   ,  -   ,"  2,729 ","  10,813 ",  74 ,  293 ,  -   ,  30 ,ModerateBurden,,Moderate,Substantial,2.7%,  260 ,"  1,030 ",  1.0 ,100%,-2.6%,-26%,  -   ,+1%,5.3%,  353 ,"  1,399 ",  1.0 ,99%,  2 ,  3 ,  -   ,  -   ,42%,1%,65%,4%,13%,0%,,,-8%,-2%,-4%,+4%,-1%,0%,  2 ,  64 ,  7 ,  10 ,100%,50%,100%,100%,"  13,424 ",53.2%,"  12,028 ",47.7%,  24 ,1.3%,  173 ,0.9%,  45 ,,,,,  157 ,8.7%,  86 ,4.8%,"  13,263 ",65.7%,"  11,940 ",59.2%,"  5,872 ",99.9%,"  5,530 ",96.1%,5%,13%,23%,  2.3 ,1%,2%,1%,1%,  0.23 ,  0.24 ,Uncertain
"Leslie County, KY",Leslie County ,21131,Non-core,,,KY,4,"  9,877 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  81 ,  -   ,  -   ,+100%,,0.0%,  4 ,  40 ,  -   ,  -   ,  928 ,"  9,396 ",  8 ,  81 ,  -   ,  23 ,ModerateBurden,,Substantial,Moderate,9.2%,  111 ,"  1,124 ",  -   ,99%,+5.9%,-15%,  -   ,+2%,3.4%,  131 ,"  1,326 ",  -   ,97%,  1 ,  4 ,  -   ,  -   ,57%,1%,,,0%,0%,0%,,+20%,+1%,,,0%,0%,  1 ,  25 ,  -   ,  3 ,100%,100%,100%,100%,"  3,812 ",38.6%,"  3,151 ",31.9%,  9 ,1.3%,  49 ,0.6%,  5 ,0.3%,,,,  39 ,5.6%,  11 ,1.6%,"  3,772 ",48.6%,"  3,140 ",40.4%,"  1,365 ",73.9%,"  1,148 ",62.2%,5%,36%,19%,  2.4 ,0%,1%,0%,0%,  0.77 ,  0.81 ,Uncertain
"Fleming County, KY",Fleming County ,21069,Non-core,,,KY,4,"  14,581 ",,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  55 ,  -   ,  -   ,-20%,-100%,0.0%,  10 ,  69 ,  1 ,  6.9 ,"  1,210 ","  8,298 ",  24 ,  165 ,  -   ,  9 ,ModerateBurden,,Substantial,Substantial,3.7%,  224 ,"  1,536 ",  -   ,98%,-0.1%,+5%,  -   ,0%,3.8%,  213 ,"  1,461 ",  -   ,98%,  -   ,  -   ,  -   ,  -   ,100%,0%,,,0%,0%,-100%,,0%,-1%,,,0%,0%,  1 ,  6 ,  -   ,  5 ,100%,100%,100%,100%,"  5,217 ",35.8%,"  4,573 ",31.4%,  107 ,8.6%,  127 ,1.2%,  28 ,1.1%,,,,  138 ,11.1%,  16 ,1.3%,"  5,079 ",46.1%,"  4,557 ",41.3%,"  2,050 ",78.1%,"  1,916 ",73.0%,10%,18%,18%,  2.5 ,1%,1%,0%,0%,  0.77 ,  0.75 ,Uncertain
"Camden County, NC",Camden County ,37029,Micropolitan,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan,NC,4,"  10,867 ",0.6%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  74 ,  -   ,  -   ,+14%,,0.0%,  7 ,  64 ,  -   ,  -   ,  678 ,"  6,239 ",  5 ,  46 ,  -   ,  -   ,ModerateBurden,,High,Substantial,13.3%,  54 ,  497 ,  1.0 ,100%,+3.9%,+35%,  -   ,0%,9.4%,  40 ,  368 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  3,420 ",31.5%,"  2,759 ",25.4%,  7 ,0.7%,  58 ,0.7%,  14 ,0.8%,,,,  30 ,3.2%,  10 ,1.1%,"  3,385 ",40.3%,"  2,748 ",32.7%,"  1,255 ",68.5%,  877 ,47.8%,8%,11%,17%,  2.7 ,11%,3%,0%,2%,  0.31 ,  0.62 ,Uncertain
"Piatt County, IL",Piatt County ,17147,Small metro,"Champaign-Urbana, IL",Metropolitan,IL,5,"  16,344 ",7.2%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  49 ,  -   ,  -   ,-47%,,0.0%,  15 ,  92 ,  -   ,  -   ,"  1,517 ","  9,282 ",  14 ,  86 ,  -   ,  7 ,ModerateBurden,,Moderate,Substantial,1.3%,  345 ,"  2,111 ",  -   ,100%,-2.1%,-9%,  -   ,+1%,3.5%,  378 ,"  2,313 ",  -   ,99%,  -   ,  -   ,  -   ,  -   ,32%,0%,,,0%,0%,-100%,,-12%,-6%,,,0%,0%,  1 ,  16 ,  -   ,  2 ,100%,100%,100%,100%,"  7,189 ",44.0%,"  5,977 ",36.6%,  54 ,4.2%,  118 ,0.9%,  16 ,0.5%,,,,  278 ,21.4%,  137 ,10.6%,"  6,903 ",54.2%,"  5,840 ",45.8%,"  2,624 ",81.0%,"  2,376 ",73.3%,4%,6%,20%,  2.4 ,1%,2%,0%,0%,  0.00 ,  0.18 ,Uncertain
"Abbeville County, SC",Abbeville County ,45001,Micropolitan,,,SC,4,"  24,527 ",,0.5%,0.0%,  -   ,  574 ,2.3%,0.0%,  8 ,  33 ,  -   ,  -   ,0%,,0.0%,  8 ,  33 ,  -   ,  -   ,"  2,590 ","  10,560 ",  41 ,  167 ,  -   ,  42 ,ModerateBurden,,Moderate,Moderate,4.2%,  302 ,"  1,231 ",  1.0 ,100%,+2.8%,-3%,  -   ,0%,1.4%,  311 ,"  1,268 ",  1.0 ,100%,  2 ,  11 ,  1 ,  6 ,66%,2%,21%,0%,0%,0%,,,+25%,+2%,+21%,0%,0%,0%,  1 ,  18 ,  6 ,  4 ,100%,100%,100%,100%,"  7,556 ",30.8%,"  6,565 ",26.8%,  27 ,1.5%,  88 ,0.4%,  14 ,0.3%,,,,  98 ,5.4%,  46 ,2.5%,"  7,456 ",37.9%,"  6,518 ",33.1%,"  3,422 ",62.4%,"  3,185 ",58.1%,12%,23%,22%,  2.5 ,27%,2%,0%,0%,  0.86 ,  0.70 ,Uncertain
"Grant County, WV",Grant County ,54023,Non-core,,,WV,3,"  11,568 ",,0.7%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  69 ,  -   ,  -   ,,,0.0%,  -   ,  -   ,  -   ,  -   ,"  1,283 ","  11,091 ",  27 ,  233 ,  -   ,  39 ,ModerateBurden,,Substantial,Moderate,5.3%,  152 ,"  1,314 ",  -   ,94%,+0.2%,-12%,  (1.0),-5%,5.2%,  172 ,"  1,487 ",  1.0 ,99%,  1 ,  4 ,  -   ,  -   ,54%,2%,29%,0%,0%,0%,,,+10%,+1%,-14%,0%,0%,0%,  1 ,  25 ,  4 ,  5 ,100%,100%,100%,100%,"  1,486 ",12.8%,"  1,243 ",10.7%,  1 ,0.1%,  38 ,0.4%,  8 ,0.3%,,,,  15 ,2.0%,  6 ,0.8%,"  1,470 ",15.8%,"  1,236 ",13.3%,  692 ,23.9%,  624 ,21.5%,8%,12%,25%,  2.5 ,1%,1%,0%,0%,  0.37 ,  0.22 ,Uncertain
"Braxton County, WV",Braxton County ,54007,Non-core,,,WV,3,"  13,957 ",,0.8%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  57 ,  -   ,  -   ,-75%,,0.0%,  32 ,  229 ,  -   ,  -   ,  970 ,"  6,950 ",  3 ,  21 ,  -   ,  1 ,ModerateBurden,,Substantial,High,8.0%,  233 ,"  1,669 ",  1.0 ,90%,-1.7%,+4%,  -   ,+1%,9.7%,  224 ,"  1,605 ",  1.0 ,89%,  1 ,  6 ,  -   ,  -   ,38%,1%,,,0%,0%,,,+16%,+1%,,,0%,0%,  1 ,  17 ,  -   ,  7 ,100%,100%,100%,100%,"  1,563 ",11.2%,"  1,238 ",8.9%,  10 ,1.1%,  76 ,0.7%,  18 ,0.5%,,,,  52 ,5.7%,  5 ,0.5%,"  1,511 ",13.4%,"  1,233 ",10.9%,  740 ,22.4%,  668 ,20.2%,5%,22%,24%,  2.5 ,1%,1%,0%,0%,  0.66 ,  0.49 ,Uncertain
"Tyler County, WV",Tyler County ,54095,Non-core,,,WV,3,"  8,591 ",,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  93 ,  -   ,  -   ,-47%,,0.0%,  15 ,  175 ,  -   ,  -   ,  736 ,"  8,567 ",  10 ,  116 ,  -   ,  5 ,ModerateBurden,,Substantial,High,6.3%,  98 ,"  1,141 ",  1.0 ,96%,-0.4%,-14%,  -   ,-2%,6.7%,  114 ,"  1,327 ",  1.0 ,98%,  -   ,  -   ,  -   ,  -   ,20%,0%,,,,,,,-1%,0%,,,,,  1 ,  12 ,  -   ,  -   ,100%,100%,100%,100%,"  1,404 ",16.3%,"  1,193 ",13.9%,  18 ,3.0%,  31 ,0.4%,  7 ,0.3%,,,,  47 ,7.9%,  17 ,2.8%,"  1,355 ",19.5%,"  1,176 ",17.0%,  631 ,31.4%,  582 ,28.9%,8%,16%,23%,  2.7 ,0%,1%,0%,1%,  0.22 ,  0.30 ,Uncertain
"Mahaska County, IA",Mahaska County ,19123,Micropolitan,"Oskaloosa, IA",Micropolitan,IA,7,"  22,095 ",100.0%,0.7%,0.0%,  -   ,"  1,051 ",4.8%,0.0%,  8 ,  36 ,  -   ,  -   ,+33%,,0.0%,  6 ,  27 ,  -   ,  -   ,"  2,315 ","  10,477 ",  51 ,  231 ,  -   ,  19 ,ModerateBurden,,Moderate,Moderate,3.2%,  155 ,  702 ,  1.0 ,99%,+0.1%,-5%,  -   ,0%,3.0%,  163 ,  738 ,  1.0 ,99%,  1 ,  4 ,  -   ,  -   ,47%,1%,0%,0%,0%,0%,0%,,+6%,-2%,0%,0%,0%,0%,  1 ,  25 ,  2 ,  11 ,100%,100%,100%,100%,"  7,439 ",33.7%,"  6,739 ",30.5%,  30 ,1.7%,  109 ,0.6%,  10 ,0.2%,,,,  99 ,5.5%,  28 ,1.6%,"  7,339 ",43.7%,"  6,711 ",39.9%,"  2,979 ",72.7%,"  2,855 ",69.7%,4%,14%,19%,  2.4 ,2%,2%,0%,2%,  0.46 ,  0.37 ,Uncertain
"Menominee County, MI",Menominee County ,26109,Micropolitan,"Marinette, WI-MI",Micropolitan,MI,5,"  22,780 ",36.1%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  35 ,  -   ,  -   ,-11%,-100%,0.0%,  9 ,  40 ,  1 ,  4.4 ,"  2,111 ","  9,267 ",  42 ,  184 ,  -   ,  28 ,ModerateBurden,,Moderate,Moderate,1.4%,  304 ,"  1,335 ",  1.0 ,100%,-1.5%,-21%,  -   ,0%,2.9%,  386 ,"  1,694 ",  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  12,655 ",55.6%,"  11,240 ",49.3%,  15 ,1.0%,  312 ,1.7%,  58 ,,,,,  87 ,5.6%,  45 ,2.9%,"  12,567 ",67.0%,"  11,195 ",59.7%,"  6,125 ",99.9%,"  5,671 ",97.3%,5%,13%,26%,  2.1 ,1%,2%,3%,0%,  0.28 ,  0.63 ,Uncertain
"Ontonagon County, MI",Ontonagon County ,26131,Non-core,,,MI,5,"  5,720 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  140 ,  -   ,  -   ,+33%,,0.0%,  6 ,  105 ,  -   ,  -   ,  474 ,"  8,287 ",  21 ,  367 ,  -   ,  -   ,ModerateBurden,,High,High,11.0%,  95 ,"  1,661 ",  1.0 ,99%,+4.8%,-17%,  -   ,0%,6.2%,  115 ,"  2,010 ",  1.0 ,99%,  -   ,  -   ,  -   ,  -   ,6%,0%,,,0%,0%,,,-20%,0%,,,0%,0%,  1 ,  10 ,  -   ,  2 ,100%,100%,100%,100%,"  3,319 ",58.0%,"  3,061 ",53.5%,  1 ,0.3%,  41 ,0.8%,  10 ,0.5%,,,,  5 ,1.6%,  4 ,1.3%,"  3,314 ",66.2%,"  3,057 ",61.1%,"  1,700 ",78.9%,"  1,607 ",74.6%,9%,15%,38%,  2.0 ,0%,2%,1%,1%,  0.27 ,  0.43 ,Uncertain
"Livingston County, KY",Livingston County ,21139,Micropolitan,"Paducah, KY-IL",Micropolitan,KY,4,"  9,194 ",9.6%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  87 ,  1 ,  10.9 ,+60%,,0.0%,  5 ,  54 ,  -   ,  -   ,  862 ,"  9,376 ",  21 ,  228 ,  -   ,  28 ,ModerateBurden,,Substantial,Substantial,5.6%,  96 ,"  1,044 ",  -   ,99%,-2.2%,+26%,  -   ,+2%,7.8%,  76 ,  827 ,  -   ,97%,  -   ,  -   ,  -   ,  -   ,44%,0%,79%,0%,0%,0%,,,-5%,0%,-21%,0%,0%,0%,  1 ,  20 ,  2 ,  3 ,100%,100%,100%,100%,"  3,357 ",36.5%,"  2,917 ",31.7%,  4 ,0.6%,  43 ,0.6%,  6 ,0.3%,,,,  27 ,4.3%,  16 ,2.5%,"  3,330 ",45.4%,"  2,901 ",39.6%,"  1,579 ",76.4%,"  1,432 ",69.2%,4%,14%,22%,  2.3 ,1%,2%,0%,0%,  0.26 ,  0.62 ,Uncertain
"Okmulgee County, OK",Okmulgee County ,40111,Medium metro,"Tulsa, OK",Metropolitan,OK,6,"  38,465 ",3.9%,1.0%,0.0%,  -   ,"  1,665 ",4.3%,0.0%,  8 ,  21 ,  3 ,  7.8 ,+33%,,0.0%,  6 ,  16 ,  -   ,  -   ,"  3,804 ","  9,890 ",  81 ,  211 ,  -   ,  4 ,ModerateBurden,,Moderate,Moderate,1.2%,  100 ,  260 ,  1.0 ,97%,-4.6%,-19%,  -   ,-3%,5.8%,  123 ,  320 ,  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,59%,0%,,,0%,0%,-100%,,-3%,-2%,,,-16%,0%,  3 ,  60 ,  -   ,  7 ,100%,100%,100%,100%,"  11,898 ",30.9%,"  9,680 ",25.2%,  25 ,0.8%,  92 ,0.3%,  14 ,0.2%,,,,  119 ,3.8%,  47 ,1.5%,"  11,779 ",40.0%,"  9,633 ",32.7%,"  4,821 ",65.8%,"  4,206 ",57.4%,16%,20%,19%,  2.6 ,8%,4%,17%,0%,  0.87 ,  0.76 ,Uncertain
"Presque Isle County, MI",Presque Isle County ,26141,Non-core,,,MI,5,"  12,592 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  64 ,  2 ,  15.9 ,-62%,,0.0%,  21 ,  167 ,  -   ,  -   ,"  1,048 ","  8,323 ",  34 ,  270 ,  -   ,  33 ,ModerateBurden,,Substantial,High,8.9%,  170 ,"  1,350 ",  1.0 ,99%,-3.4%,-24%,  -   ,+3%,12.2%,  223 ,"  1,771 ",  1.0 ,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  6,497 ",51.6%,"  5,962 ",47.3%,  3 ,0.4%,  49 ,0.5%,  9 ,0.2%,,,,  21 ,2.9%,  20 ,2.7%,"  6,476 ",60.9%,"  5,942 ",55.9%,"  3,300 ",80.6%,"  3,125 ",76.3%,8%,15%,33%,  2.2 ,1%,2%,1%,1%,  0.28 ,  0.69 ,Uncertain
"Marion County, IA",Marion County ,19125,Non-core,"Pella, IA",Micropolitan,IA,7,"  33,253 ",100.0%,1.1%,0.0%,  -   ,"  1,077 ",3.2%,0.0%,  8 ,  24 ,  -   ,  -   ,-47%,-100%,0.0%,  15 ,  45 ,  1 ,  3.0 ,"  3,647 ","  10,967 ",  76 ,  229 ,  -   ,  11 ,ModerateBurden,,Moderate,Moderate,2.7%,  277 ,  833 ,  -   ,100%,-1.0%,0%,  (1.0),0%,3.7%,  276 ,  830 ,  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,36%,1%,29%,0%,6%,0%,-100%,,-17%,-2%,+25%,0%,+6%,0%,  2 ,  47 ,  4 ,  18 ,100%,100%,100%,100%,"  13,936 ",41.9%,"  12,505 ",37.6%,  77 ,2.7%,  189 ,0.7%,  19 ,0.3%,,,,  290 ,10.3%,  83 ,2.9%,"  13,646 ",53.7%,"  12,422 ",48.8%,"  5,097 ",83.2%,"  4,739 ",77.3%,4%,10%,18%,  2.4 ,1%,2%,0%,1%,  0.19 ,  0.42 ,Uncertain
"Plymouth County, IA",Plymouth County ,19149,Small metro,,,IA,7,"  25,177 ",,0.8%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  32 ,  -   ,  -   ,+100%,,0.0%,  4 ,  16 ,  -   ,  -   ,"  4,022 ","  15,975 ",  80 ,  318 ,  -   ,  44 ,ModerateBurden,,Moderate,Moderate,5.8%,  153 ,  608 ,  -   ,99%,+2.0%,-6%,  -   ,-1%,3.8%,  163 ,  647 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,49%,0%,,,100%,0%,,,-1%,0%,,,+100%,0%,  1 ,  15 ,  -   ,  1 ,100%,100%,100%,100%,"  10,419 ",41.4%,"  9,669 ",38.4%,  91 ,4.0%,  104 ,0.6%,  8 ,0.2%,,,,  232 ,10.3%,  67 ,3.0%,"  10,187 ",54.0%,"  9,602 ",50.9%,"  3,765 ",80.7%,"  3,655 ",78.3%,4%,9%,19%,  2.4 ,1%,6%,0%,1%,  0.13 ,  0.29 ,Uncertain
"Washington County, IN",Washington County ,18175,Large fringe metro,"Louisville/Jefferson County, KY-IN",Metropolitan,IN,5,"  28,036 ",2.2%,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  29 ,  1 ,  3.6 ,-20%,,0.0%,  10 ,  36 ,  -   ,  -   ,"  2,431 ","  8,671 ",  33 ,  118 ,  -   ,  18 ,ModerateBurden,,Moderate,Moderate,3.3%,  326 ,"  1,163 ",  1.0 ,97%,-1.7%,-7%,  -   ,-2%,5.0%,  352 ,"  1,256 ",  1.0 ,99%,  -   ,  -   ,  1 ,  12 ,14%,0%,,,0%,0%,,,+7%,0%,,,0%,0%,  1 ,  8 ,  -   ,  3 ,100%,100%,100%,100%,"  8,533 ",30.4%,"  7,590 ",27.1%,  20 ,0.8%,  102 ,0.5%,  13 ,0.3%,,,,  139 ,5.9%,  68 ,2.9%,"  8,394 ",38.9%,"  7,522 ",34.9%,"  3,338 ",68.7%,"  3,170 ",65.2%,10%,13%,17%,  2.6 ,1%,1%,0%,0%,  0.38 ,  0.70 ,Uncertain
"Chippewa County, MN",Chippewa County ,27023,Non-core,,,MN,5,"  11,800 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  68 ,  -   ,  -   ,-20%,,0.0%,  10 ,  85 ,  -   ,  -   ,"  1,536 ","  13,017 ",  38 ,  322 ,  -   ,  21 ,ModerateBurden,,Substantial,Substantial,3.9%,  531 ,"  4,500 ",  -   ,100%,+0.6%,+41%,  -   ,+1%,3.3%,  376 ,"  3,186 ",  -   ,99%,  -   ,  -   ,  -   ,  -   ,23%,0%,0%,0%,0%,0%,,,-37%,0%,0%,0%,0%,0%,  1 ,  25 ,  3 ,  5 ,100%,100%,100%,100%,"  5,030 ",42.6%,"  4,212 ",35.7%,  31 ,3.4%,  47 ,0.5%,  5 ,0.2%,,,,  107 ,11.8%,  38 ,4.2%,"  4,921 ",55.0%,"  4,174 ",46.6%,"  2,108 ",82.1%,"  1,965 ",76.5%,8%,10%,22%,  2.3 ,1%,8%,1%,1%,  0.35 ,  0.23 ,Uncertain
"Union Parish, LA",Union Parish ,22111,Small metro,"Monroe, LA",Metropolitan,LA,6,"  22,108 ",11.0%,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  36 ,  2 ,  9.0 ,-20%,+100%,0.0%,  10 ,  45 ,  1 ,  4.5 ,"  2,421 ","  10,951 ",  80 ,  362 ,  -   ,  2 ,ModerateBurden,,Moderate,Moderate,4.0%,  167 ,  755 ,  -   ,100%,+0.2%,-21%,  -   ,0%,3.8%,  211 ,  954 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,16%,0%,,,0%,0%,,,+7%,0%,,,0%,0%,  2 ,  46 ,  -   ,  22 ,100%,100%,100%,100%,"  6,666 ",30.2%,"  6,110 ",27.6%,  13 ,0.8%,  88 ,0.5%,  10 ,0.2%,,,,  58 ,3.4%,  24 ,1.4%,"  6,608 ",38.1%,"  6,086 ",35.1%,"  2,959 ",63.5%,"  2,885 ",61.9%,12%,18%,21%,  2.8 ,25%,5%,0%,0%,  0.81 ,  0.60 ,Uncertain
"Tama County, IA",Tama County ,19171,Non-core,,,IA,7,"  16,854 ",,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  47 ,  -   ,  -   ,0%,,0.0%,  8 ,  47 ,  -   ,  -   ,"  2,109 ","  12,513 ",  71 ,  421 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,6.4%,  110 ,  653 ,  0.5 ,97%,+1.8%,-31%,  0.5 ,-2%,4.5%,  159 ,  943 ,  -   ,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  8,366 ",49.6%,"  7,593 ",45.1%,  70 ,5.0%,  108 ,0.8%,  9 ,0.3%,,,,  307 ,21.8%,  151 ,10.7%,"  8,059 ",62.9%,"  7,442 ",58.1%,"  2,950 ",87.9%,"  2,852 ",85.0%,6%,12%,20%,  2.5 ,1%,11%,7%,0%,  0.33 ,  0.56 ,Uncertain
"Fajardo Municipio, PR",Fajardo Municipio ,72053,,"San Juan-Bayamón-Caguas, PR",Metropolitan,PR,2,"  29,454 ",1.5%,0.9%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  27 ,,,-38%,,0.0%,  13 ,  44 ,  -   ,  -   ,"  1,201 ","  4,078 ",  -   ,  -   ,,,,,Moderate,Moderate,5.3%,  333 ,"  1,131 ",,,-2.3%,+15%,,,7.6%,  290 ,  985 ,,,  2 ,  1 ,  -   ,  -   ,43%,1%,73%,0%,23%,0%,-33%,-100%,+3%,-1%,-18%,0%,0%,-4%,  2 ,  219 ,  13 ,  32 ,100%,100%,100%,100%,"  12,652 ",43.0%,"  9,560 ",32.5%,  120 ,5.7%,  280 ,1.2%,  61 ,0.9%,,,,  317 ,15.1%,  68 ,3.2%,"  12,333 ",51.0%,"  9,492 ",39.3%,"  3,926 ",59.1%,"  3,361 ",50.6%,9%,44%,23%,,,,,,,,Uncertain
"Montour County, PA",Montour County ,42093,Small metro,"Bloomsburg-Berwick, PA",Metropolitan,PA,3,"  18,230 ",21.9%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  44 ,  -   ,  -   ,-43%,-100%,0.0%,  14 ,  77 ,  3 ,  16.5 ,"  2,005 ","  10,998 ",  66 ,  362 ,  -   ,  26 ,ModerateBurden,,Moderate,Substantial,4.7%,  265 ,"  1,454 ",  -   ,99%,+0.9%,-1%,  -   ,-1%,3.8%,  267 ,"  1,465 ",  -   ,100%,  50 ,  5 ,  112 ,  10 ,86%,7%,88%,13%,17%,3%,-24%,-43%,-4%,0%,+1%,0%,0%,+1%,  2 ,"  1,067 ",  208 ,  364 ,100%,100%,100%,100%,"  11,408 ",62.6%,"  10,115 ",55.5%,  97 ,7.7%,  159 ,1.1%,  24 ,0.6%,,,,  403 ,32.0%,  102 ,8.1%,"  11,005 ",76.0%,"  10,013 ",69.1%,"  3,755 ",95.7%,"  3,539 ",90.2%,5%,11%,22%,  2.3 ,2%,3%,0%,3%,  0.31 ,  0.13 ,Uncertain
"Westmoreland County, VA",Westmoreland County ,51193,Non-core,,,VA,3,"  18,015 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  44 ,  -   ,  -   ,-20%,,0.0%,  10 ,  56 ,  -   ,  -   ,"  1,299 ","  7,211 ",  26 ,  144 ,  -   ,  35 ,ModerateBurden,,Moderate,Substantial,4.0%,  112 ,  622 ,  1.0 ,100%,-0.2%,-9%,  -   ,+1%,4.2%,  123 ,  683 ,  1.0 ,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  2,370 ",13.2%,"  2,021 ",11.2%,  1 ,0.1%,  42 ,0.3%,  11 ,0.2%,,,,  25 ,2.2%,  11 ,0.9%,"  2,345 ",16.1%,"  2,010 ",13.8%,"  1,051 ",22.8%,  972 ,21.0%,13%,12%,26%,  2.3 ,26%,7%,1%,1%,  0.29 ,  0.77 ,Uncertain
"Albemarle County, VA",Albemarle County ,51003,Small metro,"Charlottesville, VA",Metropolitan,VA,3,"  109,330 ",50.0%,1.3%,0.0%,  1 ,"  22,509 ",20.6%,0.0%,  8 ,  7 ,  -   ,  -   ,-56%,,0.0%,  18 ,  16 ,  -   ,  -   ,"  5,792 ","  5,298 ",  83 ,  76 ,  -   ,  27 ,LowBurden,,Low,Moderate,0.9%,"  1,538 ","  1,407 ",  1.0 ,98%,-0.2%,-28%,  -   ,0%,1.1%,"  2,140 ","  1,957 ",  1.0 ,98%,  5 ,  3 ,  25 ,  16 ,66%,3%,41%,0%,41%,0%,-50%,+79%,+5%,-1%,-1%,-3%,0%,-2%,  1 ,  158 ,  26 ,  57 ,100%,100%,100%,100%,"  25,042 ",22.9%,"  19,678 ",18.0%,  298 ,4.1%,  310 ,0.4%,  28 ,0.1%,,,,"  1,618 ",22.1%,  584 ,8.0%,"  23,335 ",26.6%,"  19,089 ",21.7%,"  6,593 ",31.2%,"  5,571 ",26.3%,7%,10%,19%,  2.4 ,9%,6%,0%,5%,  0.17 ,  0.10 ,Uncertain
